id,x,y,lat,lon
T1,118.75194805194812,36.12467532467531,46.8666676818714,38.68645470890375
T2,300.325974025974,34.223376623376566,46.86685705451494,38.70189724520409
T3,488.5545454545454,61.79220779220782,46.86532227172508,38.71804043369403
T4,488.5545454545454,20.91428571428571,46.86771991330846,38.71804061068447
T5,126.35714285714292,80.80519480519479,46.86407114430309,38.687090506367525
T6,118.75194805194812,135.94285714285718,46.86085851582561,38.68643543591228
T7,300.325974025974,134.04155844155844,46.8610240872581,38.70188714382487
T8,307.93116883116886,78.90389610389605,46.86424991329823,38.70254247386508
T9,488.5545454545454,130.23896103896107,46.861304730664045,38.718040137142665
T10,488.5545454545454,183.4753246753247,46.85817747597159,38.71803990632239
T11,484.75194805194803,237.66233766233768,46.854991493244185,38.71771176859697
T12,483.8012987012987,288.9974025974026,46.851971868881634,38.71762945208546
T13,484.75194805194803,604.612987012987,46.83336251709379,38.71770944540859
T14,487.6038961038961,663.5532467532468,46.829877508308165,38.71795562602941
T15,485.70259740259735,719.6415584415585,46.82656042501826,38.71779092423379
T16,120.6532467532468,326.07272727272726,46.849772585916924,38.686559980712325
T17,121.60389610389618,385.012987012987,46.84633015270912,38.686629313063484
T18,375.4272727272728,418.2857142857143,46.84436649021543,38.70829752344623
T19,375.4272727272728,472.47272727272724,46.84117953924268,38.708294108467356
T20,373.52597402597405,530.4623376623376,46.83776685855899,38.708127050867205
T21,121.60389610389618,718.690909090909,46.8267912103932,38.686565006291566
T22,121.60389610389618,662.6025974025974,46.8300814980951,38.686575833683904
T23,121.60389610389618,608.4155844155844,46.83325795832679,38.686586287131554
T24,119.70259740259743,553.2779220779221,46.83648831997005,38.68643537335374
T25,121.60389610389618,497.1896103896104,46.83977101320604,38.68660772294736
T26,121.60389610389618,443.0025974025974,46.84294061134038,38.68661815569284
